timestamp,dx,dy,dthetaw,dthetaz,time_imu,ax,ay,az,pressure
1753446923965036490,0.07,0.08,0.9862856015372314,-0.16504760586067763,1753446923929997260,-0.9,0.11,0.15,13.930000305175781
1753446923995020722,0.06,0.08,0.9902680687415704,-0.13917310096006544,1753446923960170250,-1.02,0.11,0.5,13.930000305175781
1753446924025063747,0.06,0.08,0.9902680687415704,-0.13917310096006544,1753446923990077547,-0.99,0.13,0.56,13.930000305175781
1753446924054923023,0.06,0.08,0.9914448613738104,-0.13052619222005157,1753446924020176749,-0.88,0.09,0.25,13.930000305175781
1753446924084939479,0.05,0.08,0.9914448613738104,-0.13052619222005157,1753446924050271939,-0.92,0.09,0.28,13.930000305175781
1753446924115144583,0.05,0.08,0.9914448613738104,-0.13052619222005157,1753446924105195095,-1.0,0.11,0.37,13.930000305175781
1753446924145100329,0.05,0.08,0.9914448613738104,-0.13052619222005157,1753446924135096138,-0.92,0.15,0.14,13.930000305175781
1753446924175077565,0.05,0.08,0.9914448613738104,-0.13052619222005157,1753446924139978810,-0.92,0.15,0.14,13.930000305175781
1753446924204945481,0.05,0.08,0.9902680687415704,-0.13917310096006544,1753446924195035797,-0.97,0.09,0.38,13.930000305175781
1753446924234877753,0.04,0.08,0.9902680687415704,-0.13917310096006544,1753446924225093566,-0.91,0.05,0.4,13.930000305175781
1753446924265037870,0.04,0.08,0.9902680687415704,-0.13917310096006544,1753446924230227858,-0.91,0.05,0.4,13.930000305175781
1753446924295584360,0.04,0.09,0.9890158633619168,-0.14780941112961063,1753446924260066935,-0.89,0.08,0.44,13.930000305175781
1753446924325235029,0.04,0.09,0.9890158633619168,-0.14780941112961063,1753446924314953764,-0.93,0.1,0.41,13.930000305175781
1753446924355051629,0.04,0.09,0.9876883405951378,-0.15643446504023087,1753446924320148901,-0.93,0.1,0.41,13.930000305175781
1753446924385518870,0.04,0.09,0.9890158633619168,-0.14780941112961063,1753446924349991995,-0.93,0.12,0.23,13.930000305175781
1753446924415127244,0.04,0.09,0.9890158633619168,-0.14780941112961063,1753446924405031153,-0.93,0.1,0.23,13.930000305175781
1753446924445146082,0.03,0.09,0.9876883405951378,-0.15643446504023087,1753446924434801375,-0.89,0.13,0.26,13.930000305175781
1753446924475975779,0.03,0.09,0.9876883405951378,-0.15643446504023087,1753446924440010318,-0.89,0.13,0.26,13.930000305175781
1753446924504867897,0.03,0.09,0.9862856015372314,-0.16504760586067763,1753446924476025387,-0.9,0.13,0.36,13.930000305175781
1753446924535049599,0.03,0.09,0.984807753012208,-0.17364817766693033,1753446924525193104,-0.93,0.1,0.32,13.930000305175781
1753446924565007004,0.03,0.09,0.984807753012208,-0.17364817766693033,1753446924554915304,-0.92,0.08,0.36,13.930000305175781
1753446924594939133,0.03,0.09,0.984807753012208,-0.17364817766693033,1753446924584955701,-0.89,0.11,0.25,13.930000305175781
